disease,drug
Anesthetic Adjunct,hydromorphone/fentanyl/atracurium/butorphanol/methohexital
Angina,aspirin/nitroglycerin/metoprolol/amlodipine/isosorbide mononitrate/isosorbide dinitrate/enoxaparin/ranolazine/atenolol/carvedilol/amlodipine / atorvastatin
Angina Pectoris Prophylaxis,isosorbide mononitrate/aspirin/metoprolol/nitroglycerin/diltiazem/bisoprolol/isosorbide dinitrate/nifedipine/atenolol
Ankylosing Spondylitis,diclofenac/prednisone/naproxen/indomethacin/celecoxib/adalimumab/aspirin/etanercept/sulindac/infliximab
Anorexia,cyproheptadine/megestrol/dronabinol/olanzapine
Anorexia Nervosa,olanzapine/cyproheptadine
Anthrax,ciprofloxacin/levofloxacin/doxycycline/moxifloxacin/penicillin g potassium/chloramphenicol/ofloxacin/anthrax immune globulin intravenous
Anthrax Prophylaxis,amoxicillin/levofloxacin/ciprofloxacin/doxycycline/moxifloxacin/anthrax vaccine adsorbed/ofloxacin
Antiphospholipid Syndrome,warfarin/aspirin/heparin
Antithrombin III Deficiency,antithrombin iii/antithrombin (recombinant)
Anxiety and Stress,sertraline/citalopram/fluoxetine/amitriptyline/venlafaxine/paroxetine/prazosin/fluvoxamine
Aortography,iodixanol/iohexol
"Aphthous Stomatitis, Recurrent",colchicine/hydrocortisone
Aphthous Ulcer,triamcinolone/dexamethasone/benzocaine
Aplastic Anemia,"filgrastim/sargramostim/lymphocyte immune globulin, anti-thy (equine)/eltrombopag"
Apnea of Prematurity,theophylline/caffeine
Arrhythmia,amiodarone/verapamil/propranolol/dofetilide/lidocaine/mexiletine/disopyramide/phenytoin/quinidine/procainamide
Ascariasis,albendazole/mebendazole/pyrantel/ivermectin/nitazoxanide
Ascites,furosemide/hydrochlorothiazide / spironolactone/torsemide/amiloride/bumetanide/triamterene/ethacrynic acid
Aseptic Necrosis,ibuprofen/alendronate/diclofenac/aspirin/naproxen
Asperger Syndrome,risperidone/olanzapine/lisdexamfetamine
"Aspergillosis, Aspergilloma",itraconazole/amphotericin b/amphotericin b lipid complex
"Aspergillosis, Invasive",voriconazole/posaconazole/itraconazole/amphotericin b/caspofungin/amphotericin b liposomal/isavuconazonium/amphotericin b lipid complex
Aspiration Pneumonia,prednisone/clindamycin/amoxicillin / clavulanate/metronidazole/dexamethasone/lansoprazole/piperacillin / tazobactam/ampicillin / sulbactam/cefoxitin/cilastatin / imipenem
Asthma,montelukast/prednisone/ipratropium/flunisolide/methylprednisolone/dexamethasone/formoterol / mometasone/triamcinolone/fluticasone / vilanterol/levalbuterol/ciclesonide
"Asthma, Maintenance",albuterol/montelukast/fluticasone/fluticasone / salmeterol/budesonide/budesonide / formoterol/theophylline/beclomethasone
"Asthma, acute",albuterol/prednisolone/methylprednisolone/epinephrine/hydrocortisone/theophylline/dexamethasone/levalbuterol/terbutaline
Asystole,epinephrine/vasopressin/sodium bicarbonate/calcium chloride
Atopic Dermatitis,triamcinolone/clobetasol/betamethasone/fluocinonide/hydrocortisone/tacrolimus/prednisone/mometasone/desonide/fluocinolone/desoximetasone/fluticasone/methylprednisolone/dexamethasone/azathioprine
Atrial Fibrillation,digoxin/metoprolol/diltiazem/flecainide/sotalol/carvedilol/propafenone/rivaroxaban/dronedarone/clonidine/propranolol
Atrial Flutter,diltiazem/flecainide/sotalol/propafenone/dronedarone/esmolol/ibutilide
Atrial Tachycardia,verapamil/adenosine
Atrophic Urethritis,estradiol/conjugated estrogens/estradiol / norethindrone
Atrophic Vaginitis,estradiol/conjugated estrogens
Autism,risperidone/aripiprazole/venlafaxine/ziprasidone/memantine/paliperidone/bumetanide
Autoimmune Hepatitis,azathioprine/budesonide/mercaptopurine/mycophenolate mofetil
Avian Influenza,"oseltamivir/influenza virus vaccine, h5n1"
Babesiosis,clindamycin/atovaquone/azithromycin
Back Pain,tramadol/ibuprofen/acetaminophen / hydrocodone/naproxen/diclofenac/duloxetine/aspirin/nabumetone
Bacteremia,ceftriaxone/ciprofloxacin/clindamycin/cefotaxime/metronidazole/vancomycin/amikacin/cefepime/ceftazidime/piperacillin / tazobactam/cilastatin / imipenem/gentamicin/linezolid
Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),amoxicillin/cephalexin/clarithromycin/clindamycin/azithromycin/erythromycin/ceftriaxone/vancomycin/cefadroxil/cefazolin/ampicillin/gentamicin
Bacterial Infection,amoxicillin/ciprofloxacin/clindamycin/doxycycline/cephalexin/metronidazole/ceftriaxone/levofloxacin/sulfamethoxazole / trimethoprim/azithromycin/amoxicillin / clavulanate/vancomycin/cefuroxime
Bacterial Skin Infection,sulfamethoxazole / trimethoprim/bacitracin/bacitracin / neomycin / polymyxin b/benzalkonium chloride / lidocaine/bacitracin / polymyxin b/hydrocortisone / neomycin / polymyxin b/bacitracin / hydrocortisone / neomycin / polymyxin b/fluocinolone / neomycin/bacitracin / neomycin / polymyxin b / pramoxine/neomycin / polymyxin b / pramoxine
Bacterial Vaginitis,metronidazole/clindamycin/acetic acid/tinidazole/secnidazole
Balanoposthitis,clotrimazole/metronidazole/miconazole
Barrett's Esophagus,omeprazole/pantoprazole/esomeprazole/lansoprazole/rabeprazole/dexlansoprazole
Bartonellosis,rifampin/doxycycline/azithromycin/minocycline/erythromycin
Basal Cell Carcinoma,fluorouracil/imiquimod/vismodegib/sonidegib
Beef Tapeworm Infection (Taenia saginata),praziquantel/paromomycin
Behcet's Disease,colchicine/azathioprine/infliximab/adalimumab/etanercept/apremilast
Benign Essential Tremor,propranolol/primidone/gabapentin/nadolol/metoprolol/zonisamide
Benign Prostatic Hyperplasia,tamsulosin/finasteride/doxazosin/terazosin/alfuzosin/tadalafil/dutasteride/prazosin/silodosin/dutasteride / tamsulosin
Benzodiazepine Withdrawal,clonazepam/clonidine
Berylliosis,prednisone/triamcinolone/cortisone
Binge Eating Disorder,fluoxetine/lisdexamfetamine
Bipolar Disorder,lamotrigine/lithium/quetiapine/gabapentin/clonazepam/divalproex sodium/bupropion/oxcarbazepine/risperidone/sertraline/aripiprazole/topiramate/olanzapine/venlafaxine
Birth Control (Contraception),levonorgestrel/norethindrone/ethinyl estradiol / norgestimate/ethinyl estradiol / levonorgestrel/ethinyl estradiol / norethindrone/medroxyprogesterone
Bladder Cancer,mitomycin/cisplatin/atezolizumab/methotrexate/doxorubicin/thiotepa/cyclophosphamide/erdafitinib
Bladder Infection,ciprofloxacin/nitrofurantoin/cephalexin/amoxicillin/levofloxacin/trimethoprim/cefuroxime/methenamine/cefpodoxime/fosfomycin
Blastomycosis,fluconazole/itraconazole/ketoconazole/voriconazole/amphotericin b/amphotericin b lipid complex
Bleeding Disorder,"tranexamic acid/goserelin/dextran, high molecular weight"
Blepharitis,dexamethasone / neomycin / polymyxin b/bacitracin / polymyxin b/prednisolone / sulfacetamide sodium/bacitracin / neomycin / polymyxin b/hydrocortisone / neomycin / polymyxin b/gentamicin / prednisolone
Blepharoconjunctivitis,polymyxin b / trimethoprim/bacitracin / polymyxin b/bacitracin / neomycin / polymyxin b
Blepharospasm,incobotulinumtoxinA/onabotulinumtoxinA
Body Dysmorphic Disorder,escitalopram/fluoxetine/sertraline/citalopram/risperidone/paroxetine/olanzapine/ziprasidone/fluvoxamine
Body Imaging,iohexol/ioversol
Bone Marrow Transplantation,fluconazole/filgrastim/busulfan/immune globulin intravenous/cisplatin/sargramostim
Bone infection (Osteomyelitis),cephalexin/clindamycin/vancomycin/ciprofloxacin/ceftriaxone/cefazolin/cefuroxime/metronidazole/piperacillin / tazobactam/dicloxacillin/cefotaxime/ceftazidime/gentamicin/ofloxacin
Botulism,botulism immune globulin/botulism antitoxin/penicillin g potassium/penicillin g sodium
Bowel Preparation,polyethylene glycol 3350/bisacodyl/polyethylene glycol 3350 with electrolytes/magnesium sulfate / potassium sulfate / sodium sulfate/erythromycin/citric acid / magnesium oxide / sodium picosulfate/neomycin
Brain Tumor,lomustine/everolimus/methotrexate/carmustine/cyclophosphamide/cisplatin
Breast Cancer,tamoxifen/anastrozole/letrozole/exemestane/cyclophosphamide/methotrexate/doxorubicin/paclitaxel/trastuzumab/capecitabine/everolimus
"Breast Cancer, Adjuvant",tamoxifen/letrozole/trastuzumab/epirubicin/paclitaxel/leuprolide/neratinib
"Breast Cancer, Male",tamoxifen/palbociclib/alpelisib
"Breast Cancer, Metastatic",letrozole/anastrozole/tamoxifen/capecitabine/fulvestrant/palbociclib/docetaxel/eribulin/trastuzumab/paclitaxel
"Breast Cancer, Palliative",tamoxifen/megestrol/goserelin/estradiol/testosterone/conjugated estrogens/fluorouracil/methyltestosterone/fluoxymesterone/esterified estrogens/ethinyl estradiol
"Breast Cancer, Prevention",tamoxifen/raloxifene
Bronchiectasis,albuterol/doxycycline/guaifenesin/amoxicillin/ipratropium/ciprofloxacin/amoxicillin / clavulanate
Bronchitis,azithromycin/doxycycline/amoxicillin/guaifenesin/levofloxacin/clarithromycin/amoxicillin / clavulanate/cefdinir/ciprofloxacin/cefuroxime/sulfamethoxazole / trimethoprim/erythromycin
Bronchogenic Carcinoma,cimetidine/doxorubicin
Bronchopulmonary Dysplasia,fluticasone/prednisolone/dexamethasone
Bronchospasm Prophylaxis,albuterol/montelukast/formoterol/salmeterol
Brucellosis,doxycycline/tetracycline/streptomycin/gentamicin/chloramphenicol/minocycline
Bulimia,fluoxetine/topiramate/venlafaxine
Bullous Pemphigoid,prednisone/doxycycline/dapsone/minocycline/mycophenolate mofetil/azathioprine/tetracycline/methotrexate/rituximab/prednisolone/erythromycin/infliximab/cyclophosphamide
Burning Mouth Syndrome (Glossopyrosis),clonazepam/gabapentin/lidocaine/amitriptyline/nortriptyline/capsaicin/chlordiazepoxide
"Burns, External",silver sulfadiazine/lidocaine/gentamicin/vancomycin/benzocaine
Bursitis,naproxen/prednisone/indomethacin/dexamethasone/cortisone/triamcinolone/betamethasone/trolamine salicylate/sulindac
CMV Prophylaxis,valacyclovir/valganciclovir/ganciclovir/cytomegalovirus immune globulin/letermovir
CMV Retinitis,valganciclovir/ganciclovir/foscarnet/cidofovir
CNS Magnetic Resonance Imaging,gadopentetate dimeglumine/gadobutrol/gadoteridol/gadodiamide/gadobenate dimeglumine/gadoterate meglumine
COPD,prednisone/montelukast/budesonide / formoterol/fluticasone / vilanterol/aclidinium/levalbuterol/roflumilast/umeclidinium / vilanterol/olodaterol / tiotropium/dyphylline/fluticasone / umeclidinium / vilanterol/olodaterol/umeclidinium
"COPD, Acute",albuterol/azithromycin/epinephrine/levalbuterol/ephedrine/isoproterenol
"COPD, Maintenance",albuterol/albuterol / ipratropium/ipratropium/tiotropium/fluticasone / salmeterol/budesonide / formoterol/levalbuterol
Cachexia,megestrol/somatropin
Campylobacter Gastroenteritis,erythromycin/ofloxacin/minocycline
Cancer,carboplatin/fluorouracil/etoposide/doxorubicin/cyclophosphamide/vincristine/chlorambucil/ifosfamide/vinblastine/dactinomycin/topotecan/fludarabine/thiotepa
Candida Urinary Tract Infection,fluconazole/itraconazole/amphotericin b/flucytosine
Candidemia,fluconazole/itraconazole/caspofungin/amphotericin b/micafungin/posaconazole/voriconazole/anidulafungin/flucytosine/amphotericin b lipid complex/amphotericin b liposomal
Capillariasis,mebendazole/albendazole
Cardiovascular Risk Reduction,simvastatin/ramipril/telmisartan/empagliflozin/liraglutide/alirocumab/evolocumab/canagliflozin / metformin/rivaroxaban/canagliflozin/icosapent/semaglutide
Carpal Tunnel Syndrome,gabapentin/triamcinolone
Cataplexy,venlafaxine/sodium oxybate
Cerebral Arteriography,iodixanol/ioversol/iohexol/iopromide
Cerebral Edema,dexamethasone/mannitol
Cerebral Spasticity,baclofen/trihexyphenidyl
Cervical Cancer,cisplatin/carboplatin/methotrexate/topotecan/bevacizumab/fluorouracil/ifosfamide/cyclophosphamide/hydroxyurea/pembrolizumab
Cervical Dystonia (Spasmodic Torticollis),baclofen/lorazepam/onabotulinumtoxinA/abobotulinumtoxinA/rimabotulinumtoxinB/incobotulinumtoxinA
Cervicitis,azithromycin/doxycycline/ofloxacin
Cesarean Section,cefotaxime/bupivacaine/ropivacaine/cefotetan/cefoxitin/piperacillin
Chancroid,azithromycin/ciprofloxacin/erythromycin/ceftriaxone/doxycycline
Chlamydia Infection,azithromycin/doxycycline/amoxicillin/erythromycin/tetracycline/levofloxacin
Cholecystitis,cefazolin/cefoxitin/cefotetan
Cholera,ciprofloxacin/doxycycline/chloramphenicol/minocycline
Choriocarcinoma,methotrexate/vinblastine
Chorioditis,triamcinolone/corticotropin/cortisone
Chorioretinitis,prednisone/dexamethasone/triamcinolone/cortisone/corticotropin
Chronic Fatigue Syndrome,modafinil/duloxetine/lisdexamfetamine/amantadine/armodafinil
Chronic Idiopathic Constipation,plecanatide/prucalopride
Chronic Inflammatory Demyelinating Polyradiculoneuropathy,azathioprine/immune globulin intravenous/immune globulin intravenous and subcutaneous/interferon beta-1b/immune globulin subcutaneous
Chronic Lymphocytic Leukemia,ibrutinib/rituximab/cyclophosphamide/fludarabine/chlorambucil/bendamustine/idelalisib/immune globulin intravenous/venetoclax/obinutuzumab/alemtuzumab/ofatumumab
Chronic Mucocutaneous Candidiasis,fluconazole/ketoconazole
Chronic Myelogenous Leukemia,imatinib/hydroxyurea/nilotinib/dasatinib/anagrelide/cyclophosphamide/bosutinib/ponatinib/busulfan/cytarabine/fludarabine/omacetaxine/peginterferon alfa-2b
Chronic Myofascial Pain,cyclobenzaprine/amitriptyline/clonazepam/ibuprofen/naproxen
Chronic Pain,oxycodone/tramadol/acetaminophen / oxycodone/hydromorphone/morphine/methadone/buprenorphine/duloxetine/fentanyl
Chronic Pancreatitis,pancrelipase/pancreatin
Chronic Spasticity,baclofen/dantrolene/onabotulinumtoxinA
Clostridioides difficile Infection,vancomycin/metronidazole/fidaxomicin/penicillin g potassium/penicillin v potassium/penicillin g sodium
Cluster Headaches,tizanidine/sumatriptan/verapamil/indomethacin/prednisone/dihydroergotamine/caffeine / ergotamine/cyproheptadine/lithium/zolmitriptan
Cluster-Tic Syndrome,clonazepam/gabapentin/carbamazepine/baclofen/valproic acid/phenytoin
Coccidioidomycosis,fluconazole/itraconazole/ketoconazole/amphotericin b/amphotericin b lipid complex
"Coccidioidomycosis, Meningitis",fluconazole/voriconazole/amphotericin b
Cogan's Syndrome,methotrexate/prednisone/cyclosporine/infliximab/azathioprine/etanercept/cyclophosphamide/mycophenolate mofetil
Cold Sores (Herpes Simplex Labialis),valacyclovir/acyclovir/famciclovir/benzocaine/acyclovir / hydrocortisone/penciclovir/tetracaine/benzyl alcohol
Cold Symptoms,diphenhydramine/chlorpheniramine/acetaminophen / chlorpheniramine / phenylephrine/pseudoephedrine / triprolidine
Colorectal Cancer,oxaliplatin/fluorouracil/leucovorin/capecitabine/irinotecan/bevacizumab/cetuximab/methotrexate/panitumumab/regorafenib
Computed Tomography,barium sulfate/iodixanol
Condylomata Acuminata,imiquimod/podofilox/sinecatechins/interferon alfa-2b/interferon alfa-n3
Congenital Syphilis,penicillin g benzathine/penicillin g potassium/procaine penicillin/penicillin g sodium
Conjunctivitis,sulfacetamide sodium/dexamethasone/diclofenac/loteprednol/gatifloxacin/triamcinolone/ceftriaxone/lodoxamide/cortisone
"Conjunctivitis, Allergic",ketotifen/azelastine/cromolyn/prednisone/prednisolone/epinastine/nedocromil/bepotastine/cetirizine/alcaftadine/carbinoxamine/doxylamine
"Conjunctivitis, Bacterial",erythromycin/tobramycin/ciprofloxacin/gentamicin/polymyxin b / trimethoprim/ofloxacin/moxifloxacin/dexamethasone / tobramycin/azithromycin/bacitracin/dexamethasone / neomycin / polymyxin b
Constipation,docusate/polyethylene glycol 3350/bisacodyl/magnesium oxide/magnesium citrate/psyllium/linaclotide/magnesium hydroxide
"Constipation, Acute",lactulose/docusate / senna/polyethylene glycol 3350
"Constipation, Chronic",lactulose/linaclotide/polyethylene glycol 3350 with electrolytes/colchicine/lubiprostone/methylnaltrexone/tegaserod/naloxegol
"Constipation, Drug Induced",lubiprostone/methylnaltrexone/naloxegol
Corneal Refractive Surgery,ketorolac/riboflavin
Corneal Ulcer,ciprofloxacin/ofloxacin/prednisone/diclofenac/levofloxacin
Coronary Arteriography,iodixanol/iopromide/ioversol
Coronary Artery Disease,lisinopril/amlodipine/perindopril/amlodipine / atorvastatin/isoxsuprine/rivaroxaban
Costochondritis,ibuprofen/naproxen/lidocaine
Cough,benzonatate/guaifenesin/codeine / guaifenesin/dextromethorphan/codeine / promethazine/diphenhydramine/homatropine / hydrocodone/dextromethorphan / guaifenesin/chlorpheniramine / hydrocodone/acetaminophen / hydrocodone/dextromethorphan / promethazine
Cough and Nasal Congestion,brompheniramine / dextromethorphan / pseudoephedrine/guaifenesin / pseudoephedrine/dextromethorphan / guaifenesin / phenylephrine/guaifenesin / phenylephrine/chlorpheniramine / hydrocodone / pseudoephedrine/codeine / phenylephrine / promethazine
Crohn's Disease,azathioprine/mesalamine/budesonide/sulfasalazine/hyoscyamine/cholestyramine/infliximab/adalimumab/vedolizumab/rifaximin/certolizumab/cyclosporine/tacrolimus/ustekinumab/mycophenolate mofetil
"Crohn's Disease, Acute",mercaptopurine/metronidazole/azathioprine/budesonide/prednisone/sulfasalazine/adalimumab/infliximab/ciprofloxacin/prednisolone/dexamethasone/certolizumab/hydrocortisone/betamethasone
"Crohn's Disease, Maintenance",mercaptopurine/mesalamine/azathioprine/metronidazole/budesonide/sulfasalazine/infliximab/adalimumab/certolizumab/vedolizumab/natalizumab
Cryopyrin-Associated Periodic Syndromes,rilonacept/anakinra/canakinumab
"Cryptococcal Meningitis, Immunocompetent Host",fluconazole/flucytosine/amphotericin b
"Cryptococcal Meningitis, Immunosuppressed Host",fluconazole/amphotericin b/flucytosine/itraconazole/amphotericin b liposomal
Cryptococcosis,fluconazole/amphotericin b/flucytosine/amphotericin b liposomal/itraconazole/amphotericin b lipid complex
Cryptosporidiosis,nitazoxanide/paromomycin
Cushing's Syndrome,dexamethasone/cyproheptadine/mifepristone/corticorelin/pasireotide
Cutaneous Bacillus anthracis,doxycycline/ciprofloxacin/amoxicillin/penicillin g potassium/moxifloxacin/procaine penicillin
Cutaneous Candidiasis,nystatin/nystatin / triamcinolone/clotrimazole/ketoconazole/miconazole/terbinafine/ciclopirox/econazole
Cutaneous Larva Migrans,ivermectin/albendazole
Cutaneous Mastocytosis,ranitidine/famotidine/cimetidine
Cutaneous T-cell Lymphoma,romidepsin/clobetasol/vorinostat/bexarotene/methoxsalen/interferon gamma-1b
Cyanide Poisoning,hydroxocobalamin/sodium nitrite / sodium thiosulfate/amyl nitrite/sodium thiosulfate/sodium nitrite
Cyclic Vomiting Syndrome,amitriptyline/nortriptyline/sumatriptan/zolmitriptan
Cyclitis,loteprednol/dexamethasone/loteprednol / tobramycin
Cyclothymic Disorder,lamotrigine/divalproex sodium/oxcarbazepine/lithium/carbamazepine
Cystic Fibrosis,azithromycin/tobramycin/dornase alfa/pancrelipase/vitamin e/ivacaftor/amikacin/aztreonam/gentamicin/ivacaftor / lumacaftor
Cysticercus cellulosae,albendazole/praziquantel
Cystinuria,captopril/tiopronin/penicillamine
Dandruff,ketoconazole/pyrithione zinc/salicylic acid / sulfur/selenium sulfide/salicylic acid
Deep Neck Infection,clindamycin/metronidazole/ampicillin / sulbactam/cilastatin / imipenem/piperacillin / tazobactam/cefoxitin/penicillin g potassium/penicillin g sodium
Deep Vein Thrombosis,enoxaparin/rivaroxaban/heparin/apixaban/dabigatran/fondaparinux/edoxaban/urokinase
Deep Vein Thrombosis Prophylaxis after Abdominal Surgery,enoxaparin/dalteparin/fondaparinux
Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery,warfarin/enoxaparin/rivaroxaban/apixaban/fondaparinux/dalteparin
Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery,warfarin/enoxaparin/apixaban/rivaroxaban/fondaparinux
"Deep Vein Thrombosis, Prophylaxis",enoxaparin/heparin/rivaroxaban/apixaban/fondaparinux/dalteparin/dabigatran/desirudin
"Deep Vein Thrombosis, Recurrent Event",warfarin/rivaroxaban
"Delayed Puberty, Male",testosterone/methyltestosterone/fluoxymesterone
Dementia,haloperidol/ergoloid mesylates
Dental Abscess,amoxicillin/metronidazole/clarithromycin/erythromycin
Depression,bupropion/sertraline/citalopram/fluoxetine/escitalopram/venlafaxine/duloxetine/trazodone/mirtazapine/paroxetine
Depressive Psychosis,olanzapine/amitriptyline
Dercum's Disease,fentanyl/pregabalin
Dermal Ulcer,collagenase/becaplermin/cadexomer iodine
Dermatitis,triamcinolone/clobetasol/betamethasone/hydrocortisone/fluocinonide/desonide/mometasone/fluocinolone/prednisolone/desoximetasone/fluticasone
Dermatitis Herpetiformis,dapsone/prednisone/dexamethasone
Dermatologic Lesion,zinc oxide/methylprednisolone/balsam peru / castor oil / trypsin/fluticasone/sodium hyaluronate/balsam peru / castor oil
Dermatological Disorders,betamethasone/triamcinolone/clobetasol/hydroquinone/urea/salicylic acid/hydrocortisone / pramoxine/silver
Dermatomyositis,prednisone/methotrexate/hydroxychloroquine/azathioprine/mycophenolic acid/mycophenolate mofetil/cyclophosphamide/cortisone
Dermatophytosis,ketoconazole/griseofulvin/itraconazole
Diabetes Insipidus,hydrochlorothiazide/desmopressin/vasopressin
Diabetes Mellitus,insulin degludec/insulin aspart / insulin degludec
"Diabetes, Type 1",insulin glargine/insulin lispro/insulin aspart/insulin regular/insulin glulisine
"Diabetes, Type 2",metformin/glipizide/glimepiride/pioglitazone/liraglutide/sitagliptin/metformin / sitagliptin
Diabetic Ketoacidosis,sodium bicarbonate/insulin regular/insulin lispro/insulin aspart/insulin glulisine
Diabetic Kidney Disease (Diabetic Nephropathy),lisinopril/losartan/ramipril/enalapril/irbesartan/benazepril/captopril/quinapril/perindopril/fosinopril/moexipril/trandolapril/canagliflozin
Diabetic Macular Edema,fluocinolone/dexamethasone/ranibizumab/aflibercept
Diabetic Peripheral Neuropathy,gabapentin/pregabalin/duloxetine/tapentadol/topiramate/capsaicin/nortriptyline/carbamazepine/mexiletine
Diabetic Retinopathy,ranibizumab/aflibercept
Diagnosis and Investigation,mannitol/tuberculin purified protein derivative/metyrapone/tetrofosmin/glucagon/regadenoson/iobenguane I 123/methacholine/sodium iodide-i-131
Diaper Rash,"zinc oxide/miconazole / zinc oxide/lanolin/menthol / zinc oxide/vitamin a & d/vitamins a, d, and e"
Diarrhea,loperamide/atropine / diphenoxylate/bismuth subsalicylate/codeine/saccharomyces boulardii lyo/rifaximin/neomycin/octreotide/opium
"Diarrhea, Acute",loperamide/loperamide / simethicone/atropine / difenoxin
"Diarrhea, Chronic",loperamide/colesevelam/bismuth subsalicylate/atropine / difenoxin
Dientamoeba fragilis,metronidazole/paromomycin
